chr2L	7716	17449
chr2L	21643	66422
chr2L	66422	71492
chr2L	71492	84867
chr2L	86316	94100
chr2L	94100	102022
chr2L	102022	109431
chr2L	109431	114582
chr2L	117130	122075
chr2L	122075	131214
chr2L	131214	143261
chr2L	143261	155437
chr2L	155437	159411
chr2L	159411	180711
chr2L	180711	203046
chr2L	206959	223445
chr2L	223445	250672
chr2L	250672	272225
chr2L	272225	277446
chr2L	277446	283328
chr2L	283328	294987
chr2L	294987	298022
chr2L	298022	305030
chr2L	305030	312470
chr2L	312470	348254
chr2L	356995	402773
chr2L	402773	420269
chr2L	420411	431187
chr2L	431187	452840
chr2L	452840	471295
chr2L	471295	479219
chr2L	481040	490965
chr2L	490965	522851
chr2L	522851	540685
chr2L	541128	545353
chr2L	545353	552420
chr2L	552772	559013
chr2L	559013	564187
chr2L	564187	574121
chr2L	576926	602983
chr2L	602983	745022
chr2L	745022	810742
chr2L	810742	821453
chr2L	821453	825706
chr2L	825706	838661
chr2L	838661	851919
chr2L	851919	871457
chr2L	871457	885014
chr2L	885014	997028
chr2L	1007535	1078080
chr2L	1078080	1108750
chr2L	1108750	1119042
chr2L	1119042	1129096
chr2L	1129096	1143075
chr2L	1143075	1147586
chr2L	1148157	1158108
chr2L	1158108	1163944
chr2L	1163944	1177183
chr2L	1177183	1185926
chr2L	1187124	1362039
chr2L	1362039	1405826
chr2L	1405826	1490454
chr2L	1490454	1503506
chr2L	1503506	1614864
chr2L	1614864	1618328
chr2L	1618328	1644073
chr2L	1644105	1704375
chr2L	1704375	1715910
chr2L	1715910	1724647
chr2L	1724647	1728461
chr2L	1728461	1733295
chr2L	1733295	1748851
chr2L	1749590	1885490
chr2L	1885490	1908147
chr2L	1908147	1933366
chr2L	1933366	1944105
chr2L	1944105	1973533
chr2L	1973724	1980857
chr2L	1980857	1987621
chr2L	1988739	2009583
chr2L	2009583	2036711
chr2L	2036711	2045418
chr2L	2045418	2129980
chr2L	2129980	2146128
chr2L	2146128	2151865
chr2L	2151865	2161235
chr2L	2162439	2178915
chr2L	2178915	2194490
chr2L	2197612	2214657
chr2L	2216983	2221252
chr2L	2221252	2227032
chr2L	2227032	2236827
chr2L	2236827	2358371
chr2L	2358371	2365330
chr2L	2365330	2375566
chr2L	2375566	2383364
chr2L	2383364	2420868
chr2L	2420868	2493024
chr2L	2493024	2575308
chr2L	2575308	2586633
chr2L	2586633	2724556
chr2L	2724556	2734979
chr2L	2734979	2740189
chr2L	2740189	2750204
chr2L	2750204	2756863
chr2L	2760217	2772408
chr2L	2772408	2800644
chr2L	2807749	2855342
chr2L	2855342	2864061
chr2L	2864061	2874337
chr2L	2874337	2879069
chr2L	2879069	2885759
chr2L	2885759	2969824
chr2L	2969824	2979099
chr2L	2979099	2992847
chr2L	2992847	2999106
chr2L	2999310	3018374
chr2L	3018374	3022962
chr2L	3022962	3029252
chr2L	3029252	3040456
chr2L	3041800	3056349
chr2L	3058912	3081470
chr2L	3081470	3108044
chr2L	3108501	3144794
chr2L	3144794	3160390
chr2L	3163351	3172544
chr2L	3172544	3290898
chr2L	3290898	3303099
chr2L	3303099	3319914
chr2L	3319914	3357062
chr2L	3357446	3372924
chr2L	3372948	3377055
chr2L	3377055	3448544
chr2L	3448544	3452320
chr2L	3452320	3469980
chr2L	3470043	3478667
chr2L	3480314	3515154
chr2L	3515154	3530383
chr2L	3530383	3618763
chr2L	3619195	3632169
chr2L	3635069	3648556
chr2L	3648556	3657777
chr2L	3657777	3712344
chr2L	3712888	3786439
chr2L	3786439	3803662
chr2L	3804753	3813192
chr2L	3813192	3861985
chr2L	3861985	3867425
chr2L	3867425	3872326
chr2L	3872326	3891188
chr2L	3891188	3894818
chr2L	3894818	4180926
chr2L	4187454	4197973
chr2L	4197973	4224654
chr2L	4224654	4228418
chr2L	4228418	4333042
chr2L	4333042	4346237
chr2L	4346237	4370076
chr2L	4371862	4386493
chr2L	4386493	4402994
chr2L	4402994	4442450
chr2L	4442450	4454796
chr2L	4454796	4459133
chr2L	4459133	4463942
chr2L	4463942	4575791
chr2L	4575791	4661301
chr2L	4661301	4682134
chr2L	4682134	4691356
chr2L	4691356	4792859
chr2L	4792859	4811556
chr2L	4811556	4819093
chr2L	4819093	4830246
chr2L	4830246	4837873
chr2L	4837873	4847532
chr2L	4847532	4850821
chr2L	4850821	4883563
chr2L	4883563	4887127
chr2L	4887127	4892360
chr2L	4892360	4907817
